# 6 Degree M1845 (Up to date),,,,
# 3090 data points written for 5 variables.,,,,
# Simulation warnings:,,,,
"#   Recovery device deployment at high speed (23.8 m/s):  ""Drogue""",,,,
"#   Recovery device deployment at high speed (27.7 m/s):  ""Main""",,,,
#,,,,
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Vertical acceleration (m/s^2)
# Event IGNITION occurred at t=0 seconds,,,,
# Event LAUNCH occurred at t=0 seconds,,,,
10.094,6946.978,9866.978,159.444,-18.99216
10.104,6952.206,9872.206,159.255,-18.97254
10.114,6957.427,9877.427,159.065,-18.94311
10.124,6962.643,9882.643,158.876,-18.92349
10.134,6967.852,9887.852,158.687,-18.89406
10.144,6973.055,9893.055,158.498,-18.87444
10.154,6978.252,9898.252,158.309,-18.84501
10.164,6983.443,9903.443,158.121,-18.82539
10.174,6988.628,9908.628,157.933,-18.79596
10.184,6993.806,9913.806,157.745,-18.77634
10.194,6998.979,9918.979,157.558,-18.74691
10.204,7004.145,9924.145,157.371,-18.72729
10.214,7009.305,9929.305,157.184,-18.69786
10.224,7014.459,9934.459,156.997,-18.67824
10.234,7019.606,9939.606,156.81,-18.64881
10.244,7024.748,9944.748,156.624,-18.62919
10.254,7029.884,9949.884,156.438,-18.59976
10.264,7035.013,9955.013,156.252,-18.58014
10.274,7040.136,9960.136,156.066,-18.55071
10.284,7045.254,9965.254,155.881,-18.53109
10.294,7050.365,9970.365,155.696,-18.51147
10.304,7055.47,9975.47,155.511,-18.48204
10.314,7060.569,9980.569,155.326,-18.46242
10.324,7065.662,9985.662,155.142,-18.43299
10.334,7070.749,9990.749,154.958,-18.41337
10.344,7075.83,9995.83,154.774,-18.39375
10.354,7080.905,1.00E+04,154.59,-18.36432
10.364,7085.973,1.00E+04,154.406,-18.3447
10.374,7091.036,1.00E+04,154.223,-18.32508
10.384,7096.093,1.00E+04,154.04,-18.29565
10.394,7101.144,1.00E+04,153.857,-18.27603
10.404,7106.189,1.00E+04,153.675,-18.25641
10.414,7111.227,1.00E+04,153.492,-18.22698
10.424,7116.26,1.00E+04,153.31,-18.20736
10.434,7121.287,1.00E+04,153.128,-18.18774
10.444,7126.308,1.01E+04,152.947,-18.15831
10.454,7131.323,1.01E+04,152.765,-18.13869
10.464,7136.332,1.01E+04,152.584,-18.11907
10.474,7141.335,1.01E+04,152.403,-18.09945
10.484,7146.332,1.01E+04,152.222,-18.07002
10.494,7151.323,1.01E+04,152.042,-18.0504
10.504,7156.309,1.01E+04,151.861,-18.03078
10.514,7161.288,1.01E+04,151.681,-18.01116
10.524,7166.262,1.01E+04,151.501,-17.98173
10.534,7171.229,1.01E+04,151.322,-17.96211
10.544,7176.191,1.01E+04,151.142,-17.94249
10.554,7181.147,1.01E+04,150.963,-17.92287
10.564,7186.096,1.01E+04,150.784,-17.89344
10.574,7191.041,1.01E+04,150.605,-17.87382
10.584,7195.979,1.01E+04,150.426,-17.8542
10.594,7200.911,1.01E+04,150.248,-17.83458
10.604,7205.837,1.01E+04,150.07,-17.81496
10.614,7210.758,1.01E+04,149.892,-17.78553
10.624,7215.673,1.01E+04,149.714,-17.76591
10.634,7220.582,1.01E+04,149.537,-17.74629
10.644,7225.485,1.02E+04,149.359,-17.72667
10.654,7230.382,1.02E+04,149.182,-17.70705
10.664,7235.274,1.02E+04,149.006,-17.67762
10.674,7240.16,1.02E+04,148.829,-17.658
10.684,7245.04,1.02E+04,148.652,-17.63838
10.694,7249.914,1.02E+04,148.476,-17.61876
10.704,7254.782,1.02E+04,148.3,-17.59914
10.714,7259.645,1.02E+04,148.124,-17.57952
10.724,7264.502,1.02E+04,147.949,-17.5599
10.734,7269.353,1.02E+04,147.773,-17.54028
10.744,7274.198,1.02E+04,147.598,-17.51085
10.754,7279.038,1.02E+04,147.423,-17.49123
10.764,7283.871,1.02E+04,147.248,-17.47161
10.774,7288.7,1.02E+04,147.074,-17.45199
10.784,7293.522,1.02E+04,146.899,-17.43237
10.794,7298.339,1.02E+04,146.725,-17.41275
10.804,7303.15,1.02E+04,146.551,-17.39313
10.814,7307.955,1.02E+04,146.378,-17.37351
10.824,7312.754,1.02E+04,146.204,-17.35389
10.834,7317.548,1.02E+04,146.031,-17.33427
10.844,7322.337,1.02E+04,145.858,-17.31465
10.854,7327.119,1.03E+04,145.685,-17.29503
10.864,7331.896,1.03E+04,145.512,-17.27541
10.874,7336.667,1.03E+04,145.339,-17.24598
10.884,7341.433,1.03E+04,145.167,-17.22636
10.894,7346.192,1.03E+04,144.995,-17.20674
10.904,7350.947,1.03E+04,144.823,-17.18712
10.914,7355.695,1.03E+04,144.651,-17.1675
10.924,7360.438,1.03E+04,144.48,-17.14788
10.934,7365.176,1.03E+04,144.308,-17.12826
10.944,7369.907,1.03E+04,144.137,-17.10864
10.954,7374.633,1.03E+04,143.966,-17.08902
10.964,7379.354,1.03E+04,143.795,-17.0694
10.974,7384.069,1.03E+04,143.625,-17.04978
10.984,7388.778,1.03E+04,143.454,-17.03997
10.994,7393.482,1.03E+04,143.284,-17.02035
11.004,7398.18,1.03E+04,143.114,-17.00073
11.014,7402.872,1.03E+04,142.944,-16.98111
11.024,7407.559,1.03E+04,142.775,-16.96149
11.034,7412.241,1.03E+04,142.605,-16.94187
11.044,7416.917,1.03E+04,142.436,-16.92225
11.054,7421.587,1.03E+04,142.267,-16.90263
11.064,7426.252,1.04E+04,142.098,-16.88301
11.074,7430.911,1.04E+04,141.929,-16.86339
11.084,7435.565,1.04E+04,141.761,-16.84377
11.094,7440.213,1.04E+04,141.593,-16.82415
11.104,7444.856,1.04E+04,141.424,-16.80453
11.114,7449.493,1.04E+04,141.257,-16.78491
11.124,7454.124,1.04E+04,141.089,-16.7751
11.134,7458.751,1.04E+04,140.921,-16.75548
11.144,7463.371,1.04E+04,140.754,-16.73586
11.154,7467.986,1.04E+04,140.587,-16.71624
11.164,7472.596,1.04E+04,140.42,-16.69662
11.174,7477.2,1.04E+04,140.253,-16.677
11.184,7481.799,1.04E+04,140.086,-16.65738
11.194,7486.392,1.04E+04,139.92,-16.63776
11.204,7490.98,1.04E+04,139.753,-16.62795
11.214,7495.563,1.04E+04,139.587,-16.60833
11.224,7500.139,1.04E+04,139.421,-16.58871
11.234,7504.711,1.04E+04,139.256,-16.56909
11.244,7509.277,1.04E+04,139.09,-16.54947
11.254,7513.838,1.04E+04,138.925,-16.52985
11.264,7518.393,1.04E+04,138.76,-16.52004
11.274,7522.943,1.04E+04,138.595,-16.50042
11.284,7527.487,1.05E+04,138.43,-16.4808
11.294,7532.026,1.05E+04,138.265,-16.46118
11.304,7536.559,1.05E+04,138.101,-16.44156
11.314,7541.088,1.05E+04,137.936,-16.43175
11.324,7545.61,1.05E+04,137.772,-16.41213
11.334,7550.128,1.05E+04,137.608,-16.39251
11.344,7554.64,1.05E+04,137.444,-16.37289
11.354,7559.146,1.05E+04,137.281,-16.35327
11.364,7563.648,1.05E+04,137.117,-16.34346
11.374,7568.144,1.05E+04,136.954,-16.32384
11.384,7572.634,1.05E+04,136.791,-16.30422
11.394,7577.119,1.05E+04,136.628,-16.2846
11.404,7581.599,1.05E+04,136.465,-16.27479
11.414,7586.074,1.05E+04,136.303,-16.25517
11.424,7590.543,1.05E+04,136.14,-16.23555
11.434,7595.007,1.05E+04,135.978,-16.21593
11.444,7599.466,1.05E+04,135.816,-16.20612
11.454,7603.919,1.05E+04,135.654,-16.1865
11.464,7608.367,1.05E+04,135.493,-16.16688
11.474,7612.809,1.05E+04,135.331,-16.14726
11.484,7617.247,1.05E+04,135.17,-16.13745
11.494,7621.679,1.05E+04,135.008,-16.11783
11.504,7626.106,1.06E+04,134.847,-16.09821
11.514,7630.527,1.06E+04,134.687,-16.0884
11.524,7634.943,1.06E+04,134.526,-16.06878
11.534,7639.354,1.06E+04,134.365,-16.04916
11.544,7643.76,1.06E+04,134.205,-16.03935
11.554,7648.16,1.06E+04,134.045,-16.01973
11.564,7652.555,1.06E+04,133.885,-16.00011
11.574,7656.945,1.06E+04,133.725,-15.98049
11.584,7661.33,1.06E+04,133.565,-15.97068
11.594,7665.709,1.06E+04,133.405,-15.95106
11.604,7670.084,1.06E+04,133.246,-15.93144
11.614,7674.453,1.06E+04,133.087,-15.92163
11.624,7678.816,1.06E+04,132.928,-15.90201
11.634,7683.175,1.06E+04,132.769,-15.8922
11.644,7687.528,1.06E+04,132.61,-15.87258
11.654,7691.876,1.06E+04,132.452,-15.85296
11.664,7696.219,1.06E+04,132.293,-15.84315
11.674,7700.557,1.06E+04,132.135,-15.82353
11.684,7704.89,1.06E+04,131.977,-15.80391
11.694,7709.217,1.06E+04,131.819,-15.7941
11.704,7713.539,1.06E+04,131.661,-15.77448
11.714,7717.856,1.06E+04,131.503,-15.76467
11.724,7722.168,1.06E+04,131.346,-15.74505
11.734,7726.475,1.07E+04,131.189,-15.72543
11.744,7730.776,1.07E+04,131.032,-15.71562
11.754,7735.072,1.07E+04,130.875,-15.696
11.764,7739.364,1.07E+04,130.718,-15.68619
11.774,7743.65,1.07E+04,130.561,-15.66657
11.784,7747.931,1.07E+04,130.404,-15.64695
11.794,7752.206,1.07E+04,130.248,-15.63714
11.804,7756.477,1.07E+04,130.092,-15.61752
11.814,7760.743,1.07E+04,129.936,-15.60771
11.824,7765.003,1.07E+04,129.78,-15.58809
11.834,7769.258,1.07E+04,129.624,-15.57828
11.844,7773.509,1.07E+04,129.469,-15.55866
11.854,7777.754,1.07E+04,129.313,-15.53904
11.864,7781.994,1.07E+04,129.158,-15.52923
11.874,7786.229,1.07E+04,129.003,-15.50961
11.884,7790.459,1.07E+04,128.848,-15.4998
11.894,7794.683,1.07E+04,128.693,-15.48018
11.904,7798.903,1.07E+04,128.538,-15.47037
11.914,7803.118,1.07E+04,128.384,-15.45075
11.924,7807.327,1.07E+04,128.229,-15.44094
11.934,7811.532,1.07E+04,128.075,-15.42132
11.944,7815.731,1.07E+04,127.921,-15.41151
11.954,7819.925,1.07E+04,127.767,-15.39189
11.964,7824.115,1.07E+04,127.613,-15.38208
11.974,7828.299,1.08E+04,127.459,-15.36246
11.984,7832.478,1.08E+04,127.306,-15.35265
11.994,7836.652,1.08E+04,127.153,-15.33303
12.004,7840.821,1.08E+04,126.999,-15.32322
12.014,7844.986,1.08E+04,126.846,-15.3036
12.024,7849.145,1.08E+04,126.693,-15.29379
12.034,7853.299,1.08E+04,126.541,-15.27417
12.044,7857.448,1.08E+04,126.388,-15.26436
12.054,7861.592,1.08E+04,126.235,-15.24474
12.064,7865.731,1.08E+04,126.083,-15.23493
12.074,7869.865,1.08E+04,125.931,-15.21531
12.084,7873.994,1.08E+04,125.779,-15.2055
12.094,7878.118,1.08E+04,125.627,-15.18588
12.104,7882.237,1.08E+04,125.475,-15.17607
12.114,7886.352,1.08E+04,125.324,-15.15645
12.124,7890.461,1.08E+04,125.172,-15.14664
12.134,7894.565,1.08E+04,125.021,-15.13683
12.144,7898.664,1.08E+04,124.87,-15.11721
12.154,7902.758,1.08E+04,124.718,-15.1074
12.164,7906.848,1.08E+04,124.568,-15.08778
12.174,7910.932,1.08E+04,124.417,-15.07797
12.184,7915.012,1.08E+04,124.266,-15.05835
12.194,7919.086,1.08E+04,124.116,-15.04854
12.204,7923.156,1.08E+04,123.965,-15.02892
12.214,7927.22,1.09E+04,123.815,-15.01911
12.224,7931.28,1.09E+04,123.665,-15.0093
12.234,7935.335,1.09E+04,123.515,-14.98968
12.244,7939.385,1.09E+04,123.365,-14.97987
12.254,7943.43,1.09E+04,123.216,-14.96025
12.264,7947.47,1.09E+04,123.066,-14.95044
12.274,7951.505,1.09E+04,122.917,-14.94063
12.284,7955.535,1.09E+04,122.767,-14.92101
12.294,7959.561,1.09E+04,122.618,-14.9112
12.304,7963.581,1.09E+04,122.469,-14.89158
12.314,7967.597,1.09E+04,122.32,-14.88177
12.324,7971.607,1.09E+04,122.172,-14.87196
12.334,7975.613,1.09E+04,122.023,-14.85234
12.344,7979.614,1.09E+04,121.875,-14.84253
12.354,7983.61,1.09E+04,121.726,-14.83272
12.364,7987.601,1.09E+04,121.578,-14.8131
12.374,7991.588,1.09E+04,121.43,-14.80329
12.384,7995.569,1.09E+04,121.282,-14.79348
12.394,7999.546,1.09E+04,121.135,-14.77386
12.404,8003.518,1.09E+04,120.987,-14.76405
12.414,8007.485,1.09E+04,120.839,-14.74443
12.424,8011.447,1.09E+04,120.692,-14.73462
12.434,8015.404,1.09E+04,120.545,-14.72481
12.444,8019.357,1.09E+04,120.398,-14.70519
12.454,8023.304,1.09E+04,120.251,-14.69538
12.464,8027.247,1.10E+04,120.104,-14.68557
12.474,8031.185,1.10E+04,119.957,-14.66595
12.484,8035.118,1.10E+04,119.811,-14.65614
12.494,8039.047,1.10E+04,119.664,-14.64633
12.504,8042.97,1.10E+04,119.518,-14.63652
12.514,8046.889,1.10E+04,119.372,-14.6169
12.524,8050.803,1.10E+04,119.225,-14.60709
12.534,8054.712,1.10E+04,119.08,-14.59728
12.544,8058.617,1.10E+04,118.934,-14.57766
12.554,8062.516,1.10E+04,118.788,-14.56785
12.564,8066.411,1.10E+04,118.642,-14.55804
12.574,8070.301,1.10E+04,118.497,-14.53842
12.584,8074.186,1.10E+04,118.352,-14.52861
12.594,8078.067,1.10E+04,118.206,-14.5188
12.604,8081.943,1.10E+04,118.061,-14.50899
12.614,8085.814,1.10E+04,117.916,-14.48937
12.624,8089.68,1.10E+04,117.772,-14.47956
12.634,8093.542,1.10E+04,117.627,-14.46975
12.644,8097.398,1.10E+04,117.482,-14.45013
12.654,8101.25,1.10E+04,117.338,-14.44032
12.664,8105.098,1.10E+04,117.194,-14.43051
12.674,8108.94,1.10E+04,117.05,-14.4207
12.684,8112.778,1.10E+04,116.905,-14.40108
12.694,8116.611,1.10E+04,116.762,-14.39127
12.704,8120.44,1.10E+04,116.618,-14.38146
12.714,8124.263,1.10E+04,116.474,-14.37165
12.724,8128.082,1.11E+04,116.33,-14.35203
12.734,8131.897,1.11E+04,116.187,-14.34222
12.744,8135.706,1.11E+04,116.044,-14.33241
12.754,8139.511,1.11E+04,115.9,-14.3226
12.764,8143.311,1.11E+04,115.757,-14.30298
12.774,8147.107,1.11E+04,115.614,-14.29317
12.784,8150.897,1.11E+04,115.472,-14.28336
12.794,8154.684,1.11E+04,115.329,-14.27355
12.804,8158.465,1.11E+04,115.186,-14.26374
12.814,8162.242,1.11E+04,115.044,-14.24412
12.824,8166.014,1.11E+04,114.901,-14.23431
12.834,8169.781,1.11E+04,114.759,-14.2245
12.844,8173.544,1.11E+04,114.617,-14.21469
12.854,8177.302,1.11E+04,114.475,-14.20488
12.864,8181.055,1.11E+04,114.333,-14.18526
12.874,8184.804,1.11E+04,114.191,-14.17545
12.884,8188.548,1.11E+04,114.05,-14.16564
12.894,8192.288,1.11E+04,113.908,-14.15583
12.904,8196.022,1.11E+04,113.767,-14.14602
12.914,8199.753,1.11E+04,113.625,-14.1264
12.924,8203.478,1.11E+04,113.484,-14.11659
12.934,8207.199,1.11E+04,113.343,-14.10678
12.944,8210.915,1.11E+04,113.202,-14.09697
12.954,8214.627,1.11E+04,113.061,-14.08716
12.964,8218.334,1.11E+04,112.921,-14.06754
12.974,8222.037,1.11E+04,112.78,-14.05773
12.984,8225.734,1.12E+04,112.639,-14.04792
12.994,8229.428,1.12E+04,112.499,-14.03811
13.004,8233.116,1.12E+04,112.359,-14.0283
13.014,8236.8,1.12E+04,112.219,-14.01849
13.024,8240.48,1.12E+04,112.079,-13.99887
13.034,8244.154,1.12E+04,111.939,-13.98906
13.044,8247.825,1.12E+04,111.799,-13.97925
13.054,8251.49,1.12E+04,111.659,-13.96944
13.064,8255.151,1.12E+04,111.52,-13.95963
13.074,8258.808,1.12E+04,111.38,-13.94982
13.084,8262.46,1.12E+04,111.241,-13.94001
13.094,8266.107,1.12E+04,111.101,-13.92039
13.104,8269.75,1.12E+04,110.962,-13.91058
13.114,8273.388,1.12E+04,110.823,-13.90077
13.124,8277.022,1.12E+04,110.684,-13.89096
13.134,8280.651,1.12E+04,110.545,-13.88115
13.144,8284.275,1.12E+04,110.407,-13.87134
13.154,8287.895,1.12E+04,110.268,-13.86153
13.164,8291.511,1.12E+04,110.13,-13.85172
13.174,8295.122,1.12E+04,109.991,-13.8321
13.184,8298.728,1.12E+04,109.853,-13.82229
13.194,8302.33,1.12E+04,109.715,-13.81248
13.204,8305.927,1.12E+04,109.577,-13.80267
13.214,8309.52,1.12E+04,109.439,-13.79286
13.224,8313.108,1.12E+04,109.301,-13.78305
13.234,8316.692,1.12E+04,109.163,-13.77324
13.244,8320.271,1.12E+04,109.026,-13.76343
13.254,8323.846,1.12E+04,108.888,-13.75362
13.264,8327.416,1.13E+04,108.751,-13.74381
13.274,8330.982,1.13E+04,108.614,-13.72419
13.284,8334.543,1.13E+04,108.476,-13.71438
13.294,8338.1,1.13E+04,108.339,-13.70457
13.304,8341.652,1.13E+04,108.202,-13.69476
13.314,8345.2,1.13E+04,108.065,-13.68495
13.324,8348.743,1.13E+04,107.929,-13.67514
13.334,8352.282,1.13E+04,107.792,-13.66533
13.344,8355.816,1.13E+04,107.655,-13.65552
13.354,8359.346,1.13E+04,107.519,-13.64571
13.364,8362.871,1.13E+04,107.383,-13.6359
13.374,8366.392,1.13E+04,107.246,-13.62609
13.384,8369.908,1.13E+04,107.11,-13.61628
13.394,8373.42,1.13E+04,106.974,-13.60647
13.404,8376.927,1.13E+04,106.838,-13.59666
13.414,8380.43,1.13E+04,106.703,-13.57704
13.424,8383.929,1.13E+04,106.567,-13.56723
13.434,8387.423,1.13E+04,106.431,-13.55742
13.444,8390.913,1.13E+04,106.296,-13.54761
13.454,8394.398,1.13E+04,106.16,-13.5378
13.464,8397.878,1.13E+04,106.025,-13.52799
13.474,8401.355,1.13E+04,105.89,-13.51818
13.484,8404.827,1.13E+04,105.755,-13.50837
13.494,8408.294,1.13E+04,105.62,-13.49856
13.504,8411.757,1.13E+04,105.485,-13.48875
13.514,8415.216,1.13E+04,105.35,-13.47894
13.524,8418.67,1.13E+04,105.215,-13.46913
13.534,8422.119,1.13E+04,105.081,-13.45932
13.544,8425.565,1.14E+04,104.946,-13.44951
13.554,8429.006,1.14E+04,104.812,-13.4397
13.564,8432.442,1.14E+04,104.677,-13.42989
13.574,8435.874,1.14E+04,104.543,-13.42008
13.584,8439.302,1.14E+04,104.409,-13.41027
13.594,8442.725,1.14E+04,104.275,-13.40046
13.604,8446.144,1.14E+04,104.141,-13.39065
13.614,8449.559,1.14E+04,104.007,-13.38084
13.624,8452.969,1.14E+04,103.874,-13.37103
13.634,8456.375,1.14E+04,103.74,-13.36122
13.644,8459.776,1.14E+04,103.607,-13.35141
13.654,8463.173,1.14E+04,103.473,-13.3416
13.664,8466.566,1.14E+04,103.34,-13.33179
13.674,8469.954,1.14E+04,103.207,-13.32198
13.684,8473.338,1.14E+04,103.074,-13.31217
13.694,8476.717,1.14E+04,102.94,-13.30236
13.704,8480.092,1.14E+04,102.808,-13.29255
13.714,8483.463,1.14E+04,102.675,-13.28274
13.724,8486.829,1.14E+04,102.542,-13.27293
13.734,8490.191,1.14E+04,102.409,-13.26312
13.744,8493.549,1.14E+04,102.277,-13.25331
13.754,8496.903,1.14E+04,102.144,-13.2435
13.764,8500.252,1.14E+04,102.012,-13.23369
13.774,8503.596,1.14E+04,101.88,-13.22388
13.784,8506.937,1.14E+04,101.748,-13.21407
13.794,8510.273,1.14E+04,101.615,-13.20426
13.804,8513.604,1.14E+04,101.483,-13.19445
13.814,8516.932,1.14E+04,101.352,-13.18464
13.824,8520.255,1.14E+04,101.22,-13.17483
13.834,8523.573,1.14E+04,101.088,-13.16502
13.844,8526.888,1.15E+04,100.957,-13.16502
13.854,8530.198,1.15E+04,100.825,-13.15521
13.864,8533.504,1.15E+04,100.694,-13.1454
13.874,8536.805,1.15E+04,100.562,-13.13559
13.884,8540.102,1.15E+04,100.431,-13.12578
13.894,8543.395,1.15E+04,100.3,-13.11597
13.904,8546.683,1.15E+04,100.169,-13.10616
13.914,8549.968,1.15E+04,100.038,-13.09635
13.924,8553.248,1.15E+04,99.907,-13.08654
13.934,8556.523,1.15E+04,99.776,-13.07673
13.944,8559.795,1.15E+04,99.646,-13.06692
13.954,8563.062,1.15E+04,99.515,-13.05711
13.964,8566.324,1.15E+04,99.384,-13.0473
13.974,8569.583,1.15E+04,99.254,-13.03749
13.984,8572.837,1.15E+04,99.124,-13.02768
13.994,8576.087,1.15E+04,98.993,-13.02768
14.004,8579.333,1.15E+04,98.863,-13.01787
14.014,8582.574,1.15E+04,98.733,-13.00806
14.024,8585.811,1.15E+04,98.603,-12.99825
14.034,8589.044,1.15E+04,98.473,-12.98844
14.044,8592.273,1.15E+04,98.344,-12.97863
14.054,8595.497,1.15E+04,98.214,-12.96882
14.064,8598.717,1.15E+04,98.084,-12.95901
14.074,8601.933,1.15E+04,97.955,-12.9492
14.084,8605.145,1.15E+04,97.825,-12.93939
14.094,8608.352,1.15E+04,97.696,-12.93939
14.104,8611.555,1.15E+04,97.567,-12.92958
14.114,8614.754,1.15E+04,97.438,-12.91977
14.124,8617.949,1.15E+04,97.309,-12.90996
14.134,8621.139,1.15E+04,97.18,-12.90015
14.144,8624.326,1.15E+04,97.051,-12.89034
14.154,8627.508,1.16E+04,96.922,-12.88053
14.164,8630.685,1.16E+04,96.793,-12.87072
14.174,8633.859,1.16E+04,96.664,-12.86091
14.184,8637.028,1.16E+04,96.536,-12.86091
14.194,8640.193,1.16E+04,96.407,-12.8511
14.204,8643.354,1.16E+04,96.279,-12.84129
14.214,8646.511,1.16E+04,96.151,-12.83148
14.224,8649.663,1.16E+04,96.022,-12.82167
14.234,8652.811,1.16E+04,95.894,-12.81186
14.244,8655.955,1.16E+04,95.766,-12.80205
14.254,8659.095,1.16E+04,95.638,-12.79224
14.264,8662.231,1.16E+04,95.51,-12.79224
14.274,8665.362,1.16E+04,95.383,-12.78243
14.284,8668.49,1.16E+04,95.255,-12.77262
14.294,8671.613,1.16E+04,95.127,-12.76281
14.304,8674.732,1.16E+04,95,-12.753
14.314,8677.846,1.16E+04,94.872,-12.74319
14.324,8680.957,1.16E+04,94.745,-12.73338
14.334,8684.063,1.16E+04,94.618,-12.73338
14.344,8687.165,1.16E+04,94.49,-12.72357
14.354,8690.263,1.16E+04,94.363,-12.71376
14.364,8693.357,1.16E+04,94.236,-12.70395
14.374,8696.447,1.16E+04,94.109,-12.69414
14.384,8699.532,1.16E+04,93.982,-12.68433
14.394,8702.614,1.16E+04,93.856,-12.68433
14.404,8705.691,1.16E+04,93.729,-12.67452
14.414,8708.764,1.16E+04,93.602,-12.66471
14.424,8711.833,1.16E+04,93.476,-12.6549
14.434,8714.897,1.16E+04,93.349,-12.64509
14.444,8717.958,1.16E+04,93.223,-12.63528
14.454,8721.014,1.16E+04,93.096,-12.63528
14.464,8724.067,1.16E+04,92.97,-12.62547
14.474,8727.115,1.17E+04,92.844,-12.61566
14.484,8730.159,1.17E+04,92.718,-12.60585
14.494,8733.199,1.17E+04,92.592,-12.59604
14.504,8736.234,1.17E+04,92.466,-12.59604
14.514,8739.266,1.17E+04,92.34,-12.58623
14.524,8742.293,1.17E+04,92.215,-12.57642
14.534,8745.317,1.17E+04,92.089,-12.56661
14.544,8748.336,1.17E+04,91.963,-12.5568
14.554,8751.351,1.17E+04,91.838,-12.5568
14.564,8754.362,1.17E+04,91.712,-12.54699
14.574,8757.369,1.17E+04,91.587,-12.53718
14.584,8760.372,1.17E+04,91.462,-12.52737
14.594,8763.37,1.17E+04,91.336,-12.51756
14.604,8766.365,1.17E+04,91.211,-12.51756
14.614,8769.355,1.17E+04,91.086,-12.50775
14.624,8772.342,1.17E+04,90.961,-12.49794
14.634,8775.324,1.17E+04,90.836,-12.48813
14.644,8778.302,1.17E+04,90.712,-12.47832
14.654,8781.276,1.17E+04,90.587,-12.47832
14.664,8784.246,1.17E+04,90.462,-12.46851
14.674,8787.212,1.17E+04,90.338,-12.4587
14.684,8790.174,1.17E+04,90.213,-12.44889
14.694,8793.131,1.17E+04,90.089,-12.43908
14.704,8796.085,1.17E+04,89.964,-12.43908
14.714,8799.035,1.17E+04,89.84,-12.42927
14.724,8801.98,1.17E+04,89.716,-12.41946
14.734,8804.922,1.17E+04,89.592,-12.40965
14.744,8807.859,1.17E+04,89.468,-12.40965
14.754,8810.792,1.17E+04,89.344,-12.39984
14.764,8813.721,1.17E+04,89.22,-12.39003
14.774,8816.646,1.17E+04,89.096,-12.38022
14.784,8819.568,1.17E+04,88.972,-12.38022
14.794,8822.485,1.17E+04,88.849,-12.37041
14.804,8825.397,1.18E+04,88.725,-12.3606
14.814,8828.306,1.18E+04,88.601,-12.35079
14.824,8831.211,1.18E+04,88.478,-12.34098
14.834,8834.112,1.18E+04,88.355,-12.34098
14.844,8837.009,1.18E+04,88.231,-12.33117
14.854,8839.901,1.18E+04,88.108,-12.32136
14.864,8842.79,1.18E+04,87.985,-12.31155
14.874,8845.675,1.18E+04,87.862,-12.31155
14.884,8848.555,1.18E+04,87.739,-12.30174
14.894,8851.432,1.18E+04,87.616,-12.29193
14.904,8854.304,1.18E+04,87.493,-12.28212
14.914,8857.173,1.18E+04,87.37,-12.28212
14.924,8860.037,1.18E+04,87.248,-12.27231
14.934,8862.898,1.18E+04,87.125,-12.2625
14.944,8865.754,1.18E+04,87.002,-12.2625
14.954,8868.607,1.18E+04,86.88,-12.25269
14.964,8871.455,1.18E+04,86.757,-12.24288
14.974,8874.299,1.18E+04,86.635,-12.23307
14.984,8877.14,1.18E+04,86.513,-12.23307
14.994,8879.976,1.18E+04,86.391,-12.22326
15.004,8882.808,1.18E+04,86.268,-12.21345
15.014,8885.637,1.18E+04,86.146,-12.20364
15.024,8888.461,1.18E+04,86.024,-12.20364
15.034,8891.281,1.18E+04,85.902,-12.19383
15.044,8894.098,1.18E+04,85.781,-12.18402
15.054,8896.91,1.18E+04,85.659,-12.18402
15.064,8899.718,1.18E+04,85.537,-12.17421
15.074,8902.523,1.18E+04,85.415,-12.1644
15.084,8905.323,1.18E+04,85.294,-12.15459
15.094,8908.119,1.18E+04,85.172,-12.15459
15.104,8910.912,1.18E+04,85.051,-12.14478
15.114,8913.7,1.18E+04,84.929,-12.13497
15.124,8916.485,1.18E+04,84.808,-12.13497
15.134,8919.265,1.18E+04,84.687,-12.12516
15.144,8922.041,1.18E+04,84.566,-12.11535
15.154,8924.814,1.18E+04,84.445,-12.10554
15.164,8927.582,1.19E+04,84.324,-12.10554
15.174,8930.347,1.19E+04,84.203,-12.09573
15.184,8933.108,1.19E+04,84.082,-12.08592
15.194,8935.864,1.19E+04,83.961,-12.08592
15.204,8938.617,1.19E+04,83.84,-12.07611
15.214,8941.365,1.19E+04,83.72,-12.0663
15.224,8944.11,1.19E+04,83.599,-12.0663
15.234,8946.851,1.19E+04,83.478,-12.05649
15.244,8949.588,1.19E+04,83.358,-12.04668
15.254,8952.321,1.19E+04,83.237,-12.04668
15.264,8955.05,1.19E+04,83.117,-12.03687
15.274,8957.775,1.19E+04,82.997,-12.02706
15.284,8960.496,1.19E+04,82.877,-12.01725
15.294,8963.213,1.19E+04,82.756,-12.01725
15.304,8965.926,1.19E+04,82.636,-12.00744
15.314,8968.635,1.19E+04,82.516,-11.99763
15.324,8971.34,1.19E+04,82.396,-11.99763
15.334,8974.042,1.19E+04,82.277,-11.98782
15.344,8976.739,1.19E+04,82.157,-11.97801
15.354,8979.432,1.19E+04,82.037,-11.97801
15.364,8982.122,1.19E+04,81.917,-11.9682
15.374,8984.808,1.19E+04,81.798,-11.95839
15.384,8987.489,1.19E+04,81.678,-11.95839
15.394,8990.167,1.19E+04,81.559,-11.94858
